sort,local_name,model_crossing_id,length,gazetted_name,watershed_code,hab_value,priority,comments,comments_for_submission_with_fish_permit,fish_species,fish_species_score,habitat_value,habitat_value_score,barrier,barrier_score,upstream_habitat_length_km,length_of_new_habitat_score,stream_barred_perc_score,stream_barred_perc,limiting_to_upstream_barrier,limiting_to_upstream_barrier_score,Total Score,length_total,length_upstream
1,57696_ds,,700,Unnamed tributary to Wichcika Creek,,Medium,Low,Some deep pools for overwintering and occasional pockets of gravel suitable for spawning. Rock falls 85 m below the crossing would likely present barrier to all species except potentially adult adfluvial bull trout.  Abundant large woody debris throughout.  Stable stream channel.,Surveyed downstream for 700 m to confluence with Wichcika River. Particularly good habitat in the lowest 200m.   Some deep pools for overwintering.  Occasional pockets of gravel suitable for spawning. Rock falls located approximately 75 m below the crossing would likely present barrier to all but adult adfluvial bull trout.  Abundant large woody debris throughout.  Stable stream channel.,,,,,,,,,,,,,,,
2,57696_us,,650,Unnamed tributary to Wichcika Creek,,Medium,Low,Cascade at top end of site (650 m upstream) not passable by any species or life stage. Spawning gravel limited to intermittent small patches. ,Surveyed upstream for 650 m to impassable cascade. Some occasional pools. Frequent steps 30 - 50 cm due to large woody debris jams.  Mature spruce forest. Cascade at top end of site not passable by any species or life stage. Good sized stream with some intermittent small patches of gravel suitable for spawning. Overall nice stream but unlikely overly important to adfluvial bull trout populations due to limited spawning habitat.  Too steep for rainbow access due to rock drop below the crossing.,,,,,,,0.7,,,,,,,,
3,125175_us,,565,Unnamed tributary to Missinka River,,Medium,Moderate,At approximately 300m upstream of culvert stream splits into three tributaries.  Abundant gravels but very little to no overwintering habitat.  Lack of large woody debris and no deep pools.,Surveyed upstream for 565 m.   Lack of large woody debris and no deep pools. At approximately 300m upstream of culvert stream splits into three tributaries.  Abundant gravels but very little to no overwintering habitat available if fish passage was restored at the crossing.,"BT, RB",10,M,6,Full,10,0.3,3,38%,3,No,0,32,0.8,0.3
4,125175_ds,,400,Unnamed tributary to Missinka River,,Medium,Moderate,Abundant gravels throughout.   No functional large woody debris but abundant small woody debris and undercut banks.,Surveyed downstream for 400 m.  Abundant gravels throughout.  No barriers in surveyed area.  No functional large woody debris but abundant small woody debris and undercut banks. Higher value habitat below the culvert than above.,,,,,,,,,,,,,,,
5,125179_us,,520,Unnamed tributary to Missinka River,,High,High,Classified as fisheries sensitive watershed under FRPA due to downstream Bull Trout and Arctic Grayling (Beaudry 2013). Some deep pools for overwintering and rearing.  Large woody debris and undercut banks throughout. Sections of gravel suitable for spawning.  Good flow.  ,Good habitat.  Surveyed upstream for 520 m.  Some deep pools for overwintering and rearing.  Large woody debris and undercut banks throughout. Sections of gravel suitable for spawning.  Good flow.  ,"BT, RB",10,H,10,Full,10,2,10,67%,6,No,0,46,3,2
6,125179_ds,,360,Unnamed tributary to Missinka River,,High,High,Abundant large woody debris and gravels suitable for spawning.,Good habitat. Surveyed downstream for  360 m.  No barriers observed and none likely downstream of surveyed section due to gradients.  Abundant large woody debris and gravels suitable for spawning.,,,,,,,,,,,,,,,
7,125403_us,,350,Unnamed tributary to Parsnip River,,Low,Low," Beaver influenced wetland for first 50 m then small stream with deep polls and undercut banks, overhanging vegetation.  Large wetland approximately 200m upstream of crossing.","Surveyed upstream for approximately 350 m.  Beaver influenced wetland for first 50 m then small stream with deep polls and undercut banks, overhanging vegetation.  Large wetland upstream of beaver dam located at approx. 200m from crossing.  Fixing culvert provides access to plateau wetland areas and not a priority.",RB,6,L,3,Full,10,2.4,10,86%,10,No,0,39,2.8,2.4
8,125403_ds,,120,Unnamed tributary to Parsnip River,,Low,Low,Very thick shrubs over stream with small channel meandering throughout muddy substrate on floodplain of the Parsnip River.,Surveyed downstream for 120 m.  Very thick shrubs over stream with small channel meandering throughout muddy substrate on floodplain of the Parsnip River.,,,,,,,,,,,,,,,
9,57695_ds,,520,Unnamed tributary to Wichcika Creek,,Medium,Moderate,Stable mature streambed with frequent pieces of functional large woody debris stepping channel to grade.  Extensive areas of gravels suitable for spawning.  Steps throughout up to 0.6 m in high due to large woody debris.,Good habitat.  Surveyed downstream for 520 m upstream of PCSIS crossing 57695 to beyond historic observation of bull trout.  Site is also labelled as PSCIS 125424.  Stable mature streambed with frequent pieces of functional large woody debris stepping channel to grade.  Extensive areas of gravels suitable for spawning.  Steps throughout up to 0.6 m in high due to large woody debris.  ,,,,,,,,,,,,,,,
10,57695_us,,920,Unnamed tributary to Wichcika Creek,,Medium,Moderate,"Pockets of gravels, some shallow pools and some widely spaced large woody debris.  No permanent barriers observed but some debris jams ranging from 50 - 100 cm in height present (typical of steeper systems). ","Moderate habitat value. Surveyed upstream for 920 m.  Larger stream with pockets of gravels, some shallow pools and some widely spaced large woody debris.  No barriers observed besides debris jams ranging from 50 - 100 cm in height.  These obstructions are non-permanent and likely navigable at different flows and by large fish.",BT,10,M,6,Full,10,1.5,10,58%,6,No,0,42,2.6,1.5
